;Fasulye;Ambalaj;Amortisman;#
;ad;ad;ad;#
AB 025;1;1;;#
AB 030;1;1;;#
AS 020;;1;1;#
ARAF 025;;1;1;#
ARAF 030;;1;1;#
A 030;;1;1;#
A 035;;1;1;#
